Time,RSL
2351.5,26.745
2351.6,27.140
2351.7,27.539
2351.8,27.941
2351.9,28.333
2352.0,28.734
2352.1,29.039
2352.2,29.368
2352.3,29.691
2352.4,29.973
2352.5,30.291
2352.6,30.625
2352.7,30.967
2352.8,31.370
2352.9,31.764
2353.0,32.167
2353.1,32.509
2353.2,32.834
2353.3,33.182
2353.4,33.535
2353.5,33.923
2353.6,34.320
2353.7,34.734
2353.8,35.178
2353.9,35.629
2354.0,36.084
2354.1,36.478
2354.2,36.870
2354.3,37.273
2354.4,37.656
2354.5,38.043
2354.6,38.435
2354.7,38.858
2354.8,39.239
2354.9,39.614
2355.0,39.946
2355.1,40.168
2355.2,40.350
2355.3,40.518
2355.4,40.681
2355.5,40.829
2355.6,41.023
2355.7,41.177
2355.8,41.323
2355.9,41.443
2356.0,41.583
2356.1,41.631
2356.2,41.682
2356.3,41.711
2356.4,41.751
2356.5,41.756
2356.6,41.751
2356.7,41.757
2356.8,41.762
2356.9,41.770
2357.0,41.796
2357.1,41.770
2357.2,41.744
2357.3,41.717
2357.4,41.673
2357.5,41.604
2357.6,41.542
2357.7,41.463
2357.8,41.382
2357.9,41.292
2358.0,41.186
2358.1,41.064
2358.2,40.928
2358.3,40.777
2358.4,40.607
2358.5,40.438
2358.6,40.250
2358.7,40.055
2358.8,39.839
2358.9,39.598
2359.0,39.365
2359.1,39.127
2359.2,38.866
2359.3,38.586
2359.4,38.304
2359.5,38.037
2359.6,37.767
2359.7,37.464
2359.8,37.169
2359.9,36.867
2360.0,36.565
2360.1,36.253
2360.2,35.932
2360.3,35.591
2360.4,35.282
2360.5,34.969
2360.6,34.666
2360.7,34.345
2360.8,34.010
2360.9,33.706
2361.0,33.402
2361.1,33.135
2361.2,32.882
2361.3,32.631
2361.4,32.379
2361.5,32.145
2361.6,31.924
2361.7,31.707
2361.8,31.507
2361.9,31.313
2362.0,31.134
2362.1,30.975
2362.2,30.820
2362.3,30.651
2362.4,30.498
2362.5,30.349
2362.6,30.169
2362.7,29.983
2362.8,29.817
2362.9,29.659
2363.0,29.482
2363.1,29.305
2363.2,29.150
2363.3,29.001
2363.4,28.857
2363.5,28.694
2363.6,28.511
2363.7,28.350
2363.8,28.190
2363.9,28.027
2364.0,27.836
2364.1,27.678
2364.2,27.518
2364.3,27.353
2364.4,27.184
2364.5,27.010
2364.6,26.833
2364.7,26.642
2364.8,26.450
2364.9,26.262
2365.0,26.057
2365.1,25.845
2365.2,25.622
2365.3,25.402
2365.4,25.176
2365.5,24.926
2365.6,24.694
2365.7,24.431
2365.8,24.168
2365.9,23.897
2366.0,23.611
2366.1,23.354
2366.2,23.089
2366.3,22.807
2366.4,22.533
2366.5,22.254
2366.6,21.984
2366.7,21.703
2366.8,21.421
2366.9,21.150
2367.0,20.865
2367.1,20.602
2367.2,20.344
2367.3,20.099
2367.4,19.857
2367.5,19.621
2367.6,19.392
2367.7,19.174
2367.8,18.988
2367.9,18.815
2368.0,18.653
2368.1,18.495
2368.2,18.327
2368.3,18.178
2368.4,18.023
2368.5,17.879
2368.6,17.753
2368.7,17.627
2368.8,17.497
2368.9,17.351
2369.0,17.203
2369.1,17.046
2369.2,16.890
2369.3,16.738
2369.4,16.582
2369.5,16.436
2369.6,16.271
2369.7,16.100
2369.8,15.930
2369.9,15.763
2370.0,15.591
2370.1,15.405
2370.2,15.213
2370.3,15.028
2370.4,14.844
2370.5,14.649
2370.6,14.443
2370.7,14.229
2370.8,14.009
2370.9,13.793
2371.0,13.568
2371.1,13.337
2371.2,13.109
2371.3,12.868
2371.4,12.627
2371.5,12.392
2371.6,12.161
2371.7,11.934
2371.8,11.701
2371.9,11.475
2372.0,11.253
2372.1,11.031
2372.2,10.804
2372.3,10.568
2372.4,10.337
2372.5,10.091
2372.6,9.842
2372.7,9.602
2372.8,9.374
2372.9,9.150
2373.0,8.941
2373.1,8.754
2373.2,8.570
2373.3,8.403
2373.4,8.236
2373.5,8.063
2373.6,7.878
2373.7,7.701
2373.8,7.522
2373.9,7.346
2374.0,7.169
2374.1,7.006
2374.2,6.851
2374.3,6.709
2374.4,6.576
2374.5,6.451
2374.6,6.331
2374.7,6.206
2374.8,6.068
2374.9,5.899
2375.0,5.725
2375.1,5.549
2375.2,5.389
2375.3,5.252
2375.4,5.129
2375.5,5.033
2375.6,4.962
2375.7,4.899
2375.8,4.849
2375.9,4.810
2376.0,4.765
2376.1,4.743
2376.2,4.729
2376.3,4.713
2376.4,4.706
2376.5,4.695
2376.6,4.687
2376.7,4.679
2376.8,4.681
2376.9,4.676
2377.0,4.681
2377.1,4.677
2377.2,4.680
2377.3,4.681
2377.4,4.686
2377.5,4.680
2377.6,4.683
2377.7,4.676
2377.8,4.687
2377.9,4.693
2378.0,4.686
2378.1,4.688
2378.2,4.693
2378.3,4.698
2378.4,4.699
2378.5,4.706
2378.6,4.704
2378.7,4.704
2378.8,4.712
2378.9,4.704
2379.0,4.705
2379.1,4.707
2379.2,4.709
2379.3,4.723
2379.4,4.717
2379.5,4.724
2379.6,4.727
2379.7,4.730
2379.8,4.735
2379.9,4.732
2380.0,4.739
2380.1,4.747
2380.2,4.760
2380.3,4.763
2380.4,4.778
2380.5,4.793
2380.6,4.799
2380.7,4.809
2380.8,4.820
2380.9,4.836
2381.0,4.864
2381.1,4.881
2381.2,4.914
2381.3,4.940
2381.4,4.963
2381.5,5.001
2381.6,5.048
2381.7,5.092
2381.8,5.122
2381.9,5.163
2382.0,5.218
2382.1,5.267
2382.2,5.323
2382.3,5.389
2382.4,5.459
2382.5,5.547
2382.6,5.639
2382.7,5.737
2382.8,5.827
2382.9,5.963
2383.0,6.105
2383.1,6.241
2383.2,6.374
2383.3,6.517
2383.4,6.677
2383.5,6.859
2383.6,6.999
2383.7,7.159
2383.8,7.339
2383.9,7.548
2384.0,7.724
2384.1,7.901
2384.2,8.088
2384.3,8.286
2384.4,8.506
2384.5,8.697
2384.6,8.904
2384.7,9.117
2384.8,9.309
2384.9,9.487
2385.0,9.679
2385.1,9.885
2385.2,10.062
2385.3,10.226
2385.4,10.407
2385.5,10.568
2385.6,10.735
2385.7,10.890
2385.8,11.032
2385.9,11.164
2386.0,11.297
2386.1,11.453
2386.2,11.599
2386.3,11.746
2386.4,11.877
2386.5,12.021
